Winner,Loser(s),Game,Genres,Episode-Id,Notes
Jon,Arin,Super Smash Bros. Brawl,Fighting,uiofcRg6XEo,Arin is red
Arin,Jon,Super Smash Bros. Brawl,Fighting,uiofcRg6XEo,
Jon,Arin,Super Smash Bros. Brawl,Fighting,uiofcRg6XEo,
Arin,Jon,Super Smash Bros. Brawl,Fighting,uiofcRg6XEo,
Arin,Jon,Super Smash Bros. Brawl,Fighting,uiofcRg6XEo,
Jon,Arin,Super Smash Bros. Brawl,Fighting,uiofcRg6XEo,
Arin,Jon,Super Smash Bros. Brawl,Fighting,uiofcRg6XEo,
Jon,Arin,Super Smash Bros. Brawl,Fighting,cUx4_xFglgQ,Arin is red
Jon,Arin,Super Smash Bros. Brawl,Fighting,cUx4_xFglgQ,
Jon,Arin,Super Smash Bros. Brawl,Fighting,I25evqGoF3o,
Arin,Jon,Super Smash Bros. Brawl,Fighting,I25evqGoF3o,
Jon,Arin,Super Smash Bros. Brawl,Fighting,I25evqGoF3o,
Jon,Arin,Super Smash Bros. Brawl,Fighting,CESsQ_M5xJI,
Jon,Arin,Super Smash Bros. Brawl,Fighting,CESsQ_M5xJI,
Arin,Jon,Super Smash Bros. Brawl,Fighting,jswzoBYq7EI,
Arin,Jon,Super Smash Bros. Brawl,Fighting,jswzoBYq7EI,
Jon,Arin,Super Smash Bros. Brawl,Fighting,jswzoBYq7EI,
Arin,Jon,Super Smash Bros. Brawl,Fighting,jswzoBYq7EI,
Arin,Jon,Super Smash Bros. Brawl,Fighting,jswzoBYq7EI,
Jon,Arin,Super Smash Bros. Brawl,Fighting,jswzoBYq7EI,
AI (Arin),Jon; Arin,Jeopardy! (NES),Trivia; Gameshow,LTkRTERhL-c,First half in sD_m_OVKHKY
Arin,Jon,DreamMix TV World Fighters,Fighting,lCgWuN3Kesk,Arin is red
AI (Jon),Jon; Arin,DreamMix TV World Fighters,Fighting,lCgWuN3Kesk,
AI (Jon),Jon; Arin,DreamMix TV World Fighters,Fighting,RNKNBEP0L3A,Arin is red
Arin,Jon; AI,DreamMix TV World Fighters,Fighting,RNKNBEP0L3A,
Jon,Arin,Millionaire,Trivia; Gameshow,GJdYC0X7o08,Arin is player 1
Arin,Jon,Millionaire,Trivia; Gameshow,DI48SIr899Y,Arin is player 1
Danny,Arin,Millionaire,Trivia; Gameshow,cFurtZ7Gvb4,
Arin,Jon; AI,Mario Party 4,Board Game,hb0eYtx8iyg,First series edited by Barry
Barry,Arin; Ross; Susy,Mario Party 4,Board Game,3v0OjBnPUm0,Susies first starring episode/series
AI (Jon),Jon; Arin,Mario Party 2,Board Game,alckNXBWPno,"Jon plays Wario, Arin plays Peach"
Jon,Arin; AI,Mario Party 2,Board Game,4qQeU3IrEJY,
Jon,Arin; AI,Mario Party 8,Board Game,U5p2dMBk9Cw,
Jon,Arin; AI,Mario Party 8,Board Game,ItUYKDE4o7M,
AI (Arin),Arin; Danny,Mario Party 8,Board Game,8LibVrLqjD0,
